OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
787,1431900,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,4,4B,969,2020-01-12T00:12:20.000Z
792,1431908,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2A,223,2020-01-12T00:06:36.000Z
850,1432014,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5A,1506,2020-01-12T00:21:11.000Z
860,1432032,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5B,1604,2020-01-12T00:21:38.000Z
889,1432077,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2C,567,2020-01-12T00:04:24.000Z
909,1432110,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,4,4A,908,2020-01-13T00:21:36.000Z
910,1432115,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,563,2020-01-13T00:19:30.000Z
919,1432136,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2C,603,2020-01-13T00:16:39.000Z
1066,1432446,2099,3,ARSON,451(C) PC ARSON STRUC/LAND,2,2B,563,2020-01-15T00:08:50.000Z
1076,1432460,2099,0,ARSON,457.1(H) PC ARSON REG REQ,4,4C,985,2020-01-15T00:11:38.000Z
1095,1432493,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3M,734,2020-01-14T00:19:50.000Z
1150,1432649,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3M,734,2020-01-15T00:18:19.000Z
1395,1433167,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,6,6C,1132,2020-01-18T00:20:36.000Z
1448,1433278,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3M,731,2020-01-20T00:00:26.000Z
33,1429997,2099,1,ARSON,451(A) PC ARSON W/BODILY INJ,5,5A,1371,2020-01-02T00:01:00.000Z
271,1430704,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3M,734,2020-01-05T00:22:31.000Z
572,1431375,2099,2,ARSON,451(B) PC ARSON OF INHAB STRUC,6,6A,1081,2020-01-09T00:15:09.000Z
736,1431735,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,6,6C,1404,2020-01-11T00:03:35.000Z
917,1432133,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3B,746,2020-01-13T00:05:34.000Z
921,1432139,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3B,746,2020-01-13T00:06:54.000Z
926,1432146,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3M,742,2020-01-13T00:05:39.000Z
952,1432195,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3A,725,2020-01-14T00:02:40.000Z
954,1432197,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3M,735,2020-01-14T00:03:25.000Z
955,1432198,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3M,735,2020-01-14T00:03:56.000Z
957,1432200,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3M,745,2020-01-14T00:06:33.000Z
958,1432201,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3B,746,2020-01-14T00:05:07.000Z
975,1432234,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3A,715,2020-01-14T00:13:09.000Z
2037,1435104,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,2,2A,226,2020-01-21T00:23:35.000Z
2066,1435320,2099,6,ARSON,452(A) PC CAUSE FIRE W/INJURY,1,1B,404,2020-01-16T00:07:52.000Z
2070,1435324,2099,3,ARSON,451(C) PC ARSON STRUC/LAND,UI,UI,UI,2020-01-21T00:04:03.000Z
2130,1436076,2099,5,ARSON,455 PC ARSON-ATTEMPT,2,2A,223,2020-01-09T00:11:24.000Z
2131,1436079,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,5,5B,1603,2020-01-01T00:13:45.000Z
1177,1432695,1313,25,ASSAULT,368(C) CAUSE PAIN/INJ TO ELDER,3,3M,732,2020-01-14T00:11:47.000Z
345,1430877,1313,0,ASSAULT,240 PC ASSAULT/SIMPLE-CIVILIAN,3,3M,735,2020-01-07T00:08:16.000Z
1054,1432403,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,4,4A,1204,2020-01-15T00:00:59.000Z
1127,1432592,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6C,1447,2020-01-14T00:12:06.000Z
1132,1432611,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6B,1421,2020-01-16T00:03:09.000Z
1277,1432924,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,4,4B,969,2020-01-14T00:09:58.000Z
1288,1432950,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6A,1053,2020-01-17T00:04:20.000Z
1516,1433396,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,223,2020-01-20T00:14:59.000Z
1517,1433401,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,214,2020-01-06T00:22:42.000Z
1585,1433512,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6B,1401,2020-01-21T00:10:38.000Z
1674,1433697,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,4,4B,969,2020-01-02T00:00:00.000Z
1739,1433830,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6E,876,2020-01-22T00:12:46.000Z
1843,1434016,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2B,544,2020-01-23T00:23:15.000Z
101,1430277,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,UI,UI,UI,2020-01-02T00:14:08.000Z
107,1430297,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,1,1B,478,2020-01-03T00:12:27.000Z
221,1430602,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6B,1065,2020-01-05T00:14:59.000Z
288,1430746,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,1,1B,421,2020-01-06T00:13:59.000Z
294,1430768,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,4,4A,933,2020-01-06T00:17:19.000Z
443,1431108,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,1,1B,478,2020-01-07T00:10:22.000Z
491,1431210,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,235,2020-01-07T00:16:00.000Z
565,1431366,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2B,523,2020-01-09T00:09:00.000Z
593,1431420,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,5,5A,1394,2020-01-02T00:11:00.000Z
618,1431469,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2C,602,2020-01-07T00:09:50.000Z
673,1431594,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,503,2020-01-10T00:04:48.000Z
674,1431598,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,224,2020-01-05T00:05:36.000Z
685,1431617,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,3,3B,748,2020-01-10T00:15:14.000Z
698,1431644,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,3,3B,787,2020-01-10T00:17:36.000Z
709,1431662,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,226,2020-01-10T00:11:03.000Z
744,1431776,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,1,1A,116,2020-01-08T00:21:16.000Z
763,1431833,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,4,4B,1356,2020-01-11T00:15:19.000Z
788,1431902,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,1,1A,106,2020-01-07T00:09:27.000Z
799,1431924,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6A,1001,2020-01-12T00:15:52.000Z
801,1431931,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6C,1124,2020-01-10T00:15:50.000Z
912,1432119,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2B,563,2020-01-13T00:09:10.000Z
914,1432125,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2C,567,2020-01-13T00:08:49.000Z
915,1432126,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2B,531,2020-01-13T00:09:49.000Z
2151,1436420,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,517,2020-01-14T00:10:47.000Z
2159,1436520,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,5,5B,1369,2020-01-15T00:00:00.000Z
1007,1432296,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3A,776,2020-01-14T00:10:07.000Z
1008,1432297,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6B,1003,2020-01-13T00:10:35.000Z
1039,1432358,1313,19,BATTERY,242 PC BATTERY CIVILIAN,2,2A,506,2020-01-14T00:20:26.000Z
1043,1432376,1313,19,BATTERY,242 PC BATTERY CIVILIAN,5,5C,1624,2020-01-14T00:15:20.000Z
1060,1432416,1313,19,BATTERY,242 PC BATTERY CIVILIAN,4,4A,1204,2020-01-14T00:20:30.000Z
1064,1432441,1313,19,BATTERY,242 PC BATTERY CIVILIAN,4,4C,1255,2020-01-13T00:07:26.000Z
1121,1432574,1313,19,BATTERY,242 PC BATTERY CIVILIAN,4,4C,1296,2020-01-08T00:09:38.000Z
1134,1432617,1313,19,BATTERY,242 PC BATTERY CIVILIAN,1,1C,447,2020-01-15T00:11:45.000Z
1146,1432644,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6B,1421,2020-01-11T00:22:00.000Z
